job_title,required_skills,salary,SDG_category,min_education,training_duration,pathway_steps,training_providers_link
Quantity Surveyor,"quantity surveying, estimation, costing, contracts, measurement","₹30,000 - ₹55,000",Industry Innovation,graduate,18,"Learn quantity surveying|Get certified|Internship|Apply",https://www.ciqs.org.uk

# ============================================
# ⚖️ LAW & LEGAL
# ============================================
Lawyer,"law, communication, legal knowledge, client management, ethics","₹30,000 - ₹80,000",Industry Innovation,graduate,36,"Complete LLB|Get certified|Internship|Practice|Apply",https://www.barcouncilofindia.nic.in
Legal Advisor,"law, legal advice, communication, corporate law, ethics","₹40,000 - ₹90,000",Industry Innovation,graduate,36,"Complete LLB|Get certified|Practice|Apply",https://www.barcouncilofindia.nic.in
Corporate Lawyer,"corporate law, legal advice, contracts, compliance, ethics","₹50,000 - ₹100,000",Industry Innovation,graduate,36,"Complete LLB|Specialize in corporate|Practice|Apply",https://www.barcouncilofindia.nic.in
Criminal Lawyer,"criminal law, legal advice, communication, ethics, courtroom","₹35,000 - ₹80,000",Industry Innovation,graduate,36,"Complete LLB|Specialize in criminal|Practice|Apply",https://www.barcouncilofindia.nic.in

# ============================================
# 🌍 SOCIAL WORK & NGO
# ============================================
Social Worker,"social work, empathy, communication, community development, counseling","₹20,000 - ₹40,000",Quality Education,graduate,12,"Complete social work|Internship|Volunteer|Apply",https://www.msw.org
NGO Manager,"ngo management, social work, leadership, fundraising, community","₹25,000 - ₹50,000",Quality Education,graduate,18,"Learn NGO management|Learn fundraising|Volunteer|Apply",https://www.ngomanager.org
Community Health Worker,"community health, healthcare, education, outreach, empathy","₹15,000 - ₹25,000",Good Health,10th_pass,6,"Learn community health|Learn outreach|Volunteer|Apply",https://www.nhm.gov.in
Child Rights Advocate,"child rights, social work, legal knowledge, advocacy, empathy","₹25,000 - ₹45,000",Quality Education,graduate,18,"Learn child rights|Learn advocacy|Volunteer|Apply",https://www.ncpcr.gov.in

# ============================================
# 🛍️ RETAIL & SALES
# ============================================
Retail Sales Executive,"sales, communication, customer service, product knowledge","₹15,000 - ₹30,000",Decent Work,10th_pass,3,"Learn sales|Learn communication|Practice|Apply",https://www.retail.com
Store Manager,"store management, leadership, retail, inventory, customer service","₹25,000 - ₹45,000",Decent Work,12th_pass,8,"Learn retail|Learn management|Practice|Apply",https://www.retail.com
E-commerce Manager,"e-commerce, digital marketing, management, analytics, leadership","₹30,000 - ₹55,000",Industry Innovation,graduate,12,"Learn e-commerce|Learn digital marketing|Practice|Apply",https://www.amazon.in
Merchandiser,"merchandising, retail, inventory, visual display, communication","₹20,000 - ₹35,000",Decent Work,12th_pass,6,"Learn merchandising|Learn retail|Practice|Apply",https://www.retail.com
Buyer,"buying, negotiation, supplier management, retail, communication","₹25,000 - ₹45,000",Decent Work,graduate,8,"Learn buying|Learn negotiation|Practice|Apply",https://www.retail.com

# ============================================
# 🎯 SPORTS & FITNESS
# ============================================
Sports Coach,"sports coaching, communication, leadership, training, motivation","₹25,000 - ₹50,000",Industry Innovation,12th_pass,12,"Learn coaching|Get certified|Practice|Apply",https://www.sportsauthorityofindia.nic.in
Fitness Trainer,"fitness training, communication, nutrition, motivation, exercise","₹20,000 - ₹40,000",Good Health,12th_pass,6,"Learn fitness training|Get certified|Practice|Apply",https://www.fitnesstrainer.com
Physical Education Teacher,"physical education, teaching, sports, communication, leadership","₹25,000 - ₹45,000",Quality Education,12th_pass,18,"Complete B.P.Ed|Get certified|Practice|Apply",https://www.ncte.gov.in
Yoga Instructor,"yoga, meditation, teaching, communication, health","₹20,000 - ₹40,000",Good Health,12th_pass,6,"Learn yoga|Get certified|Practice|Apply",https://www.yoga.gov.in
Nutritionist,"nutrition, health, counseling, communication, food science","₹25,000 - ₹50,000",Good Health,graduate,12,"Learn nutrition|Get certified|Practice|Apply",https://www.nutrition.org

# ============================================
# 🔬 PHARMACEUTICALS
# ============================================
Pharmaceutical Scientist,"pharmaceuticals, research, chemistry, biology, analysis","₹35,000 - ₹65,000",Good Health,graduate,18,"Learn pharmaceutical science|Research|Apply",https://www.drugscontroller.gov.in
Medical Sales Representative,"medical sales, communication, product knowledge, customer service","₹20,000 - ₹40,000",Good Health,12th_pass,6,"Learn medical sales|Learn communication|Practice|Apply",https://www.pharmatimes.com
Pharmacy Manager,"pharmacy, management, leadership, pharmaceutical, customer service","₹30,000 - ₹55,000",Good Health,12th_pass,24,"Complete BPharm|Learn management|Practice|Apply",https://www.pci.nic.in

# ============================================
# 📈 INSURANCE
# ============================================
Insurance Underwriter,"insurance, underwriting, risk assessment, finance, analysis","₹25,000 - ₹45,000",Decent Work,graduate,12,"Learn insurance|Learn underwriting|Get certified|Apply",https://www.irdai.gov.in
Insurance Claims Officer,"insurance, claims, customer service, communication, documentation","₹20,000 - ₹35,000",Decent Work,12th_pass,6,"Learn insurance|Learn claims|Practice|Apply",https://www.irdai.gov.in
Actuary,"actuarial science, mathematics, statistics, finance, risk assessment","₹40,000 - ₹80,000",Decent Work,graduate,36,"Learn actuarial science|Clear exams|Get certified|Apply",https://www.actuariesindia.org
